[2019-12-14 06:00:43] RabbitPrint.WARNING:  | | | proses_daftar_invoice.php -> hapus_pelanggan [] []
[2019-12-14 06:31:24] RabbitPrint.WARNING:  | | | tambah_invoice.php -> query_upd : UPDATE surat_jalan s SET s.surat_jalan_status = 'I' WHERE s.surat_jalan_key IN ('SRJ/20191213/001','SRJ/20191213/001','SRJ/20191213/001','SRJ/20191213/001','SRJ/20191213/001','SRJ/20191213/001','SRJ/20191213/002','SRJ/20191213/003','SRJ/20191213/003','SRJ/20191213/003') [] []
[2019-12-14 06:31:24] RabbitPrint.WARNING:  | | | tambah_invoice.php -> insert ke invoice_keluar_detail -> BERHASIL [] []
[2019-12-14 06:31:24] RabbitPrint.WARNING:  | | | tambah_invoice.php -> simpan_invoice [END] [] []
[2019-12-14 06:31:26] RabbitPrint.WARNING:  | | | tambah_invoice.php -> membuka halaman [] []
[2019-12-14 06:31:26] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_pelanggan : SELECT p.* FROM pelanggan p JOIN surat_jalan sj ON p.pelanggan_id = sj.surat_jalan_pelanggan_id WHERE p.pelanggan_id > 0 AND sj.surat_jalan_status = 'B' GROUP BY p.pelanggan_nama [] []
[2019-12-14 06:31:26] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_sj : SELECT p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, sj.*, sjd.surat_jalan_detail_nama_barang, sjd.surat_jalan_detail_jenis_print, sjd.surat_jalan_detail_satuan_qty FROM surat_jalan sj JOIN surat_jalan_detail sjd ON sjd.surat_jalan_detail_surat_jalan_key = sj.surat_jalan_key JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id WHERE sj.surat_jalan_pelanggan_id = AND sj.surat_jalan_status = 'B' AND sj.surat_jalan_tanggal LIKE '-%' GROUP BY sjd.surat_jalan_detail_surat_jalan_key, sjd.surat_jalan_detail_nama_barang ORDER BY sjd.surat_jalan_detail_surat_jalan_key [] []
[2019-12-14 06:32:22] RabbitPrint.WARNING:  | | | tambah_invoice.php -> membuka halaman [] []
[2019-12-14 06:32:22] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_pelanggan : SELECT p.* FROM pelanggan p JOIN surat_jalan sj ON p.pelanggan_id = sj.surat_jalan_pelanggan_id WHERE p.pelanggan_id > 0 AND sj.surat_jalan_status = 'B' GROUP BY p.pelanggan_nama [] []
[2019-12-14 06:32:22] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_sj : SELECT p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, sj.*, sjd.surat_jalan_detail_nama_barang, sjd.surat_jalan_detail_jenis_print, sjd.surat_jalan_detail_satuan_qty FROM surat_jalan sj JOIN surat_jalan_detail sjd ON sjd.surat_jalan_detail_surat_jalan_key = sj.surat_jalan_key JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id WHERE sj.surat_jalan_pelanggan_id = AND sj.surat_jalan_status = 'B' AND sj.surat_jalan_tanggal LIKE '-%' GROUP BY sjd.surat_jalan_detail_surat_jalan_key, sjd.surat_jalan_detail_nama_barang ORDER BY sjd.surat_jalan_detail_surat_jalan_key [] []
[2019-12-14 06:33:27] RabbitPrint.WARNING:  | | | tambah_invoice.php -> membuka halaman [] []
[2019-12-14 06:33:27] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_pelanggan : SELECT p.* FROM pelanggan p JOIN surat_jalan sj ON p.pelanggan_id = sj.surat_jalan_pelanggan_id WHERE p.pelanggan_id > 0 AND sj.surat_jalan_status = 'B' GROUP BY p.pelanggan_nama [] []
[2019-12-14 06:33:27] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_sj : SELECT p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, sj.*, sjd.surat_jalan_detail_nama_barang, sjd.surat_jalan_detail_jenis_print, sjd.surat_jalan_detail_satuan_qty FROM surat_jalan sj JOIN surat_jalan_detail sjd ON sjd.surat_jalan_detail_surat_jalan_key = sj.surat_jalan_key JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id WHERE sj.surat_jalan_pelanggan_id = AND sj.surat_jalan_status = 'B' AND sj.surat_jalan_tanggal LIKE '-%' GROUP BY sjd.surat_jalan_detail_surat_jalan_key, sjd.surat_jalan_detail_nama_barang ORDER BY sjd.surat_jalan_detail_surat_jalan_key [] []
[2019-12-14 06:33:35] RabbitPrint.WARNING:  | | | tambah_invoice.php -> membuka halaman [] []
[2019-12-14 06:33:35] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_pelanggan : SELECT p.* FROM pelanggan p JOIN surat_jalan sj ON p.pelanggan_id = sj.surat_jalan_pelanggan_id WHERE p.pelanggan_id > 0 AND sj.surat_jalan_status = 'B' GROUP BY p.pelanggan_nama [] []
[2019-12-14 06:33:35] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_sj : SELECT p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, sj.*, sjd.surat_jalan_detail_nama_barang, sjd.surat_jalan_detail_jenis_print, sjd.surat_jalan_detail_satuan_qty FROM surat_jalan sj JOIN surat_jalan_detail sjd ON sjd.surat_jalan_detail_surat_jalan_key = sj.surat_jalan_key JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id WHERE sj.surat_jalan_pelanggan_id = 4 AND sj.surat_jalan_status = 'B' AND sj.surat_jalan_tanggal LIKE '2019-12%' GROUP BY sjd.surat_jalan_detail_surat_jalan_key, sjd.surat_jalan_detail_nama_barang ORDER BY sjd.surat_jalan_detail_surat_jalan_key [] []
[2019-12-14 06:33:35] RabbitPrint.WARNING:  | | | tambah_invoice.php -> jml. pelanggan : 0 [] []
[2019-12-14 06:41:59] RabbitPrint.WARNING:  | | | tambah_invoice.php -> membuka halaman [] []
[2019-12-14 06:41:59] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_pelanggan : SELECT p.* FROM pelanggan p JOIN surat_jalan sj ON p.pelanggan_id = sj.surat_jalan_pelanggan_id WHERE p.pelanggan_id > 0 AND sj.surat_jalan_status = 'B' GROUP BY p.pelanggan_nama [] []
[2019-12-14 06:41:59] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_sj : SELECT p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, sj.*, sjd.surat_jalan_detail_nama_barang, sjd.surat_jalan_detail_jenis_print, sjd.surat_jalan_detail_satuan_qty FROM surat_jalan sj JOIN surat_jalan_detail sjd ON sjd.surat_jalan_detail_surat_jalan_key = sj.surat_jalan_key JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id WHERE sj.surat_jalan_pelanggan_id = 4 AND sj.surat_jalan_status = 'B' AND sj.surat_jalan_tanggal LIKE '2019-12%' GROUP BY sjd.surat_jalan_detail_surat_jalan_key, sjd.surat_jalan_detail_nama_barang ORDER BY sjd.surat_jalan_detail_surat_jalan_key [] []
[2019-12-14 06:41:59] RabbitPrint.WARNING:  | | | tambah_invoice.php -> jml. pelanggan : 0 [] []
[2019-12-14 06:44:30] RabbitPrint.WARNING:  | | | tambah_invoice.php -> membuka halaman [] []
[2019-12-14 06:44:30] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_pelanggan : SELECT p.* FROM pelanggan p JOIN surat_jalan sj ON p.pelanggan_id = sj.surat_jalan_pelanggan_id WHERE p.pelanggan_id > 0 AND sj.surat_jalan_status = 'B' GROUP BY p.pelanggan_nama [] []
[2019-12-14 06:44:30] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_sj : SELECT p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, sj.*, sjd.surat_jalan_detail_nama_barang, sjd.surat_jalan_detail_jenis_print, sjd.surat_jalan_detail_satuan_qty FROM surat_jalan sj JOIN surat_jalan_detail sjd ON sjd.surat_jalan_detail_surat_jalan_key = sj.surat_jalan_key JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id WHERE sj.surat_jalan_pelanggan_id = 4 AND sj.surat_jalan_status = 'B' AND sj.surat_jalan_tanggal LIKE '2019-12%' GROUP BY sjd.surat_jalan_detail_surat_jalan_key, sjd.surat_jalan_detail_nama_barang ORDER BY sjd.surat_jalan_detail_surat_jalan_key [] []
[2019-12-14 06:44:30] RabbitPrint.WARNING:  | | | tambah_invoice.php -> jml. pelanggan : 0 [] []
[2019-12-14 06:45:19] RabbitPrint.WARNING:  | | | tambah_invoice.php -> membuka halaman [] []
[2019-12-14 06:45:19] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_pelanggan : SELECT p.* FROM pelanggan p JOIN surat_jalan sj ON p.pelanggan_id = sj.surat_jalan_pelanggan_id WHERE p.pelanggan_id > 0 AND sj.surat_jalan_status = 'B' GROUP BY p.pelanggan_nama [] []
[2019-12-14 06:45:19] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_sj : SELECT p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, sj.*, sjd.surat_jalan_detail_nama_barang, sjd.surat_jalan_detail_jenis_print, sjd.surat_jalan_detail_satuan_qty FROM surat_jalan sj JOIN surat_jalan_detail sjd ON sjd.surat_jalan_detail_surat_jalan_key = sj.surat_jalan_key JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id WHERE sj.surat_jalan_pelanggan_id = 4 AND sj.surat_jalan_status = 'B' AND sj.surat_jalan_tanggal LIKE '2019-12%' GROUP BY sjd.surat_jalan_detail_surat_jalan_key, sjd.surat_jalan_detail_nama_barang ORDER BY sjd.surat_jalan_detail_surat_jalan_key [] []
[2019-12-14 06:45:19] RabbitPrint.WARNING:  | | | tambah_invoice.php -> jml. pelanggan : 0 [] []
[2019-12-14 06:47:09] RabbitPrint.WARNING:  | | | tambah_invoice.php -> membuka halaman [] []
[2019-12-14 06:47:09] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_pelanggan : SELECT p.* FROM pelanggan p JOIN surat_jalan sj ON p.pelanggan_id = sj.surat_jalan_pelanggan_id WHERE p.pelanggan_id > 0 AND sj.surat_jalan_status = 'B' GROUP BY p.pelanggan_nama [] []
[2019-12-14 06:47:09] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_sj : SELECT p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, sj.*, sjd.surat_jalan_detail_nama_barang, sjd.surat_jalan_detail_jenis_print, sjd.surat_jalan_detail_satuan_qty FROM surat_jalan sj JOIN surat_jalan_detail sjd ON sjd.surat_jalan_detail_surat_jalan_key = sj.surat_jalan_key JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id WHERE sj.surat_jalan_pelanggan_id = 4 AND sj.surat_jalan_status = 'B' AND sj.surat_jalan_tanggal LIKE '2019-12%' GROUP BY sjd.surat_jalan_detail_surat_jalan_key, sjd.surat_jalan_detail_nama_barang ORDER BY sjd.surat_jalan_detail_surat_jalan_key [] []
[2019-12-14 06:47:09] RabbitPrint.WARNING:  | | | tambah_invoice.php -> jml. pelanggan : 0 [] []
[2019-12-14 06:53:52] RabbitPrint.WARNING:  | | | tambah_invoice.php -> membuka halaman [] []
[2019-12-14 06:53:52] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_pelanggan : SELECT p.* FROM pelanggan p JOIN surat_jalan sj ON p.pelanggan_id = sj.surat_jalan_pelanggan_id WHERE p.pelanggan_id > 0 AND sj.surat_jalan_status = 'B' GROUP BY p.pelanggan_nama [] []
[2019-12-14 06:53:52] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_sj : SELECT p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, sj.*, sjd.surat_jalan_detail_nama_barang, sjd.surat_jalan_detail_jenis_print, sjd.surat_jalan_detail_satuan_qty, invk.invoice_keluar_detail_harga, invk.invoice_keluar_detail_subtotal_harga FROM surat_jalan sj JOIN surat_jalan_detail sjd ON sjd.surat_jalan_detail_surat_jalan_key = sj.surat_jalan_key JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id LEFT JOIN invoice_keluar_detail invk ON invk.invoice_keluar_detail_surat_jalan_nomor = sj.surat_jalan_key WHERE sj.surat_jalan_pelanggan_id = 4 AND sj.surat_jalan_status = 'B' AND sj.surat_jalan_tanggal LIKE '2019-12%' GROUP BY sjd.surat_jalan_detail_surat_jalan_key, sjd.surat_jalan_detail_nama_barang ORDER BY sjd.surat_jalan_detail_surat_jalan_key [] []
[2019-12-14 06:53:52] RabbitPrint.WARNING:  | | | tambah_invoice.php -> jml. pelanggan : 0 [] []
[2019-12-14 06:54:27] RabbitPrint.WARNING:  | | | functions.php -> getKodeInvoice() -> selectkey : SELECT MAX(inv.invoice_keluar_no_invoice) AS psnkey FROM invoice_keluar inv WHERE inv.invoice_keluar_no_invoice LIKE '%INV/20191214/%' [] []
[2019-12-14 06:54:27] RabbitPrint.WARNING:  | | | functions.php -> getKodeInvoice() -> psn_key : INV/20191214/001 [] []
[2019-12-14 06:54:27] RabbitPrint.WARNING:  | | | tambah_invoice.php -> simpan_invoice [START] [] []
[2019-12-14 06:54:27] RabbitPrint.WARNING:  | | | tambah_invoice.php -> insert ke invoice -> sql : INSERT INTO invoice_keluar (cre_tms, upd_tms, cre_usr, upd_usr, invoice_keluar_no_invoice, invoice_keluar_pelanggan_id, invoice_keluar_tanggal_kirim, invoice_keluar_total_harga) VALUES (NOW(), NOW(), 'superuser', 'superuser', 'INV/20191214/001', 4, '2019-12-14', 12750000) [] []
[2019-12-14 06:54:27] RabbitPrint.WARNING:  | | | tambah_invoice.php -> insert ke invoice_keluar_detail -> sql_detail : INSERT INTO invoice_keluar_detail (cre_tms, upd_tms, cre_usr, upd_usr, invoice_keluar_detail_no_invoice, invoice_keluar_detail_surat_jalan_nomor, invoice_keluar_detail_jenis_print, invoice_keluar_detail_total_barang, invoice_keluar_detail_satuan, invoice_keluar_detail_harga, invoice_keluar_detail_subtotal_harga) VALUES  [] []
[2019-12-14 06:54:27] RabbitPrint.WARNING:  | | | tambah_invoice.php -> query_upd : UPDATE surat_jalan s SET s.surat_jalan_status = 'I' WHERE s.surat_jalan_key IN () [] []
[2019-12-14 06:54:27] RabbitPrint.WARNING:  | | | tambah_invoice.php -> insert ke invoice_keluar_detail -> GAGAL : You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '' at line 1 [] []
[2019-12-14 06:54:27] RabbitPrint.WARNING:  | | | tambah_invoice.php -> simpan_invoice [END] [] []
[2019-12-14 06:55:47] RabbitPrint.WARNING:  | | | tambah_invoice.php -> membuka halaman [] []
[2019-12-14 06:55:47] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_pelanggan : SELECT p.* FROM pelanggan p JOIN surat_jalan sj ON p.pelanggan_id = sj.surat_jalan_pelanggan_id WHERE p.pelanggan_id > 0 AND sj.surat_jalan_status = 'B' GROUP BY p.pelanggan_nama [] []
[2019-12-14 06:55:47] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_sj : SELECT p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, sj.*, sjd.surat_jalan_detail_nama_barang, sjd.surat_jalan_detail_jenis_print, sjd.surat_jalan_detail_satuan_qty, invk.invoice_keluar_detail_harga, invk.invoice_keluar_detail_subtotal_harga FROM surat_jalan sj JOIN surat_jalan_detail sjd ON sjd.surat_jalan_detail_surat_jalan_key = sj.surat_jalan_key JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id LEFT JOIN invoice_keluar_detail invk ON invk.invoice_keluar_detail_surat_jalan_nomor = sj.surat_jalan_key WHERE sj.surat_jalan_pelanggan_id = 4 AND sj.surat_jalan_status = 'B' AND sj.surat_jalan_tanggal LIKE '2019-12%' GROUP BY sjd.surat_jalan_detail_surat_jalan_key, sjd.surat_jalan_detail_nama_barang ORDER BY sjd.surat_jalan_detail_surat_jalan_key [] []
[2019-12-14 06:55:47] RabbitPrint.WARNING:  | | | tambah_invoice.php -> jml. pelanggan : 0 [] []
[2019-12-14 06:56:04] RabbitPrint.WARNING:  | | | tambah_invoice.php -> membuka halaman [] []
[2019-12-14 06:56:04] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_pelanggan : SELECT p.* FROM pelanggan p JOIN surat_jalan sj ON p.pelanggan_id = sj.surat_jalan_pelanggan_id WHERE p.pelanggan_id > 0 AND sj.surat_jalan_status = 'B' GROUP BY p.pelanggan_nama [] []
[2019-12-14 06:56:04] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_sj : SELECT p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, sj.*, sjd.surat_jalan_detail_nama_barang, sjd.surat_jalan_detail_jenis_print, sjd.surat_jalan_detail_satuan_qty, invk.invoice_keluar_detail_harga, invk.invoice_keluar_detail_subtotal_harga FROM surat_jalan sj JOIN surat_jalan_detail sjd ON sjd.surat_jalan_detail_surat_jalan_key = sj.surat_jalan_key JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id LEFT JOIN invoice_keluar_detail invk ON invk.invoice_keluar_detail_surat_jalan_nomor = sj.surat_jalan_key WHERE sj.surat_jalan_pelanggan_id = 4 AND sj.surat_jalan_status = 'B' AND sj.surat_jalan_tanggal LIKE '2019-12%' GROUP BY sjd.surat_jalan_detail_surat_jalan_key, sjd.surat_jalan_detail_nama_barang ORDER BY sjd.surat_jalan_detail_surat_jalan_key [] []
[2019-12-14 06:56:04] RabbitPrint.WARNING:  | | | tambah_invoice.php -> jml. pelanggan : 0 [] []
[2019-12-14 06:56:34] RabbitPrint.WARNING:  | | | functions.php -> getKodeInvoice() -> selectkey : SELECT MAX(inv.invoice_keluar_no_invoice) AS psnkey FROM invoice_keluar inv WHERE inv.invoice_keluar_no_invoice LIKE '%INV/20191214/%' [] []
[2019-12-14 06:56:34] RabbitPrint.WARNING:  | | | functions.php -> getKodeInvoice() -> psn_key : INV/20191214/001 [] []
[2019-12-14 06:56:34] RabbitPrint.WARNING:  | | | tambah_invoice.php -> simpan_invoice [START] [] []
[2019-12-14 06:56:34] RabbitPrint.WARNING:  | | | tambah_invoice.php -> insert ke invoice -> sql : INSERT INTO invoice_keluar (cre_tms, upd_tms, cre_usr, upd_usr, invoice_keluar_no_invoice, invoice_keluar_pelanggan_id, invoice_keluar_tanggal_kirim, invoice_keluar_total_harga) VALUES (NOW(), NOW(), 'superuser', 'superuser', 'INV/20191214/001', 4, '2019-12-14', 11250000) [] []
[2019-12-14 06:56:34] RabbitPrint.WARNING:  | | | tambah_invoice.php -> insert ke invoice_keluar_detail -> sql_detail : INSERT INTO invoice_keluar_detail (cre_tms, upd_tms, cre_usr, upd_usr, invoice_keluar_detail_no_invoice, invoice_keluar_detail_surat_jalan_nomor, invoice_keluar_detail_jenis_print, invoice_keluar_detail_total_barang, invoice_keluar_detail_satuan, invoice_keluar_detail_harga, invoice_keluar_detail_subtotal_harga) VALUES ( NOW(), NOW(), 'superuser', 'superuser', 'INV/20191214/001', 'SRJ/20191213/001', 'MOTIF 1', 150, 'Kg', 10000, 1500000),( NOW(), NOW(), 'superuser', 'superuser', 'INV/20191214/001', 'SRJ/20191213/001', 'MOTIF 2', 150, 'Kg', 10000, 1500000),( NOW(), NOW(), 'superuser', 'superuser', 'INV/20191214/001', 'SRJ/20191213/001', 'MOTIF 3', 150, 'Kg', 15000, 2250000),( NOW(), NOW(), 'superuser', 'superuser', 'INV/20191214/001', 'SRJ/20191213/001', 'MOTIF 4', 150, 'Kg', 10000, 1500000),( NOW(), NOW(), 'superuser', 'superuser', 'INV/20191214/001', 'SRJ/20191213/001', 'MOTIF 5', 150, 'Kg', 10000, 1500000),( NOW(), NOW(), 'superuser', 'superuser', 'INV/20191214/001', 'SRJ/20191213/001', 'MOTIF 6', 150, 'Kg', 20000, 3000000) [] []
[2019-12-14 06:56:34] RabbitPrint.WARNING:  | | | tambah_invoice.php -> query_upd : UPDATE surat_jalan s SET s.surat_jalan_status = 'I' WHERE s.surat_jalan_key IN ('SRJ/20191213/001','SRJ/20191213/001','SRJ/20191213/001','SRJ/20191213/001','SRJ/20191213/001','SRJ/20191213/001') [] []
[2019-12-14 06:56:34] RabbitPrint.WARNING:  | | | tambah_invoice.php -> insert ke invoice_keluar_detail -> BERHASIL [] []
[2019-12-14 06:56:34] RabbitPrint.WARNING:  | | | tambah_invoice.php -> simpan_invoice [END] [] []
[2019-12-14 06:56:36] RabbitPrint.WARNING:  | | | tambah_invoice.php -> membuka halaman [] []
[2019-12-14 06:56:36] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_pelanggan : SELECT p.* FROM pelanggan p JOIN surat_jalan sj ON p.pelanggan_id = sj.surat_jalan_pelanggan_id WHERE p.pelanggan_id > 0 AND sj.surat_jalan_status = 'B' GROUP BY p.pelanggan_nama [] []
[2019-12-14 06:56:36] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_sj : SELECT p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, sj.*, sjd.surat_jalan_detail_nama_barang, sjd.surat_jalan_detail_jenis_print, sjd.surat_jalan_detail_satuan_qty, invk.invoice_keluar_detail_harga, invk.invoice_keluar_detail_subtotal_harga FROM surat_jalan sj JOIN surat_jalan_detail sjd ON sjd.surat_jalan_detail_surat_jalan_key = sj.surat_jalan_key JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id LEFT JOIN invoice_keluar_detail invk ON invk.invoice_keluar_detail_surat_jalan_nomor = sj.surat_jalan_key WHERE sj.surat_jalan_pelanggan_id = AND sj.surat_jalan_status = 'B' AND sj.surat_jalan_tanggal LIKE '-%' GROUP BY sjd.surat_jalan_detail_surat_jalan_key, sjd.surat_jalan_detail_nama_barang ORDER BY sjd.surat_jalan_detail_surat_jalan_key [] []
[2019-12-14 06:56:44] RabbitPrint.WARNING:  | | | tambah_invoice.php -> membuka halaman [] []
[2019-12-14 06:56:44] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_pelanggan : SELECT p.* FROM pelanggan p JOIN surat_jalan sj ON p.pelanggan_id = sj.surat_jalan_pelanggan_id WHERE p.pelanggan_id > 0 AND sj.surat_jalan_status = 'B' GROUP BY p.pelanggan_nama [] []
[2019-12-14 06:56:44] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_sj : SELECT p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, sj.*, sjd.surat_jalan_detail_nama_barang, sjd.surat_jalan_detail_jenis_print, sjd.surat_jalan_detail_satuan_qty, invk.invoice_keluar_detail_harga, invk.invoice_keluar_detail_subtotal_harga FROM surat_jalan sj JOIN surat_jalan_detail sjd ON sjd.surat_jalan_detail_surat_jalan_key = sj.surat_jalan_key JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id LEFT JOIN invoice_keluar_detail invk ON invk.invoice_keluar_detail_surat_jalan_nomor = sj.surat_jalan_key WHERE sj.surat_jalan_pelanggan_id = 4 AND sj.surat_jalan_status = 'B' AND sj.surat_jalan_tanggal LIKE '2019-12%' GROUP BY sjd.surat_jalan_detail_surat_jalan_key, sjd.surat_jalan_detail_nama_barang ORDER BY sjd.surat_jalan_detail_surat_jalan_key [] []
[2019-12-14 06:56:44] RabbitPrint.WARNING:  | | | tambah_invoice.php -> jml. pelanggan : 0 [] []
[2019-12-14 07:05:24] RabbitPrint.WARNING:  | | | tambah_invoice.php -> membuka halaman [] []
[2019-12-14 07:05:24] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_pelanggan : SELECT p.* FROM pelanggan p JOIN surat_jalan sj ON p.pelanggan_id = sj.surat_jalan_pelanggan_id WHERE p.pelanggan_id > 0 AND sj.surat_jalan_status = 'B' GROUP BY p.pelanggan_nama [] []
[2019-12-14 07:05:24] RabbitPrint.WARNING:  | | | tambah_invoice.php -> sel_sj : SELECT p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, sj.*, sjd.surat_jalan_detail_nama_barang, sjd.surat_jalan_detail_jenis_print, sjd.surat_jalan_detail_satuan_qty, invk.invoice_keluar_detail_harga, invk.invoice_keluar_detail_subtotal_harga FROM surat_jalan sj JOIN surat_jalan_detail sjd ON sjd.surat_jalan_detail_surat_jalan_key = sj.surat_jalan_key JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id LEFT JOIN invoice_keluar_detail invk ON invk.invoice_keluar_detail_surat_jalan_nomor = sj.surat_jalan_key WHERE sj.surat_jalan_pelanggan_id = 4 AND sj.surat_jalan_status = 'B' AND sj.surat_jalan_tanggal LIKE '2019-12%' GROUP BY sjd.surat_jalan_detail_surat_jalan_key, sjd.surat_jalan_detail_nama_barang ORDER BY sjd.surat_jalan_detail_surat_jalan_key [] []
[2019-12-14 07:05:24] RabbitPrint.WARNING:  | | | tambah_invoice.php -> jml. pelanggan : 0 [] []
[2019-12-14 07:09:19] RabbitPrint.WARNING:  | | | functions.php -> getKodeInvoice() -> selectkey : SELECT MAX(inv.invoice_keluar_no_invoice) AS psnkey FROM invoice_keluar inv WHERE inv.invoice_keluar_no_invoice LIKE '%INV/20191214/%' [] []
[2019-12-14 07:09:19] RabbitPrint.WARNING:  | | | functions.php -> getKodeInvoice() -> psn_key : INV/20191214/002 [] []
[2019-12-14 07:09:19] RabbitPrint.WARNING:  | | | tambah_invoice.php -> simpan_invoice [START] [] []
[2019-12-14 07:09:19] RabbitPrint.WARNING:  | | | tambah_invoice.php -> insert ke invoice -> sql : INSERT INTO invoice_keluar (cre_tms, upd_tms, cre_usr, upd_usr, invoice_keluar_no_invoice, invoice_keluar_pelanggan_id, invoice_keluar_tanggal_kirim, invoice_keluar_total_harga) VALUES (NOW(), NOW(), 'superuser', 'superuser', 'INV/20191214/002', 4, '2019-12-14', 5500000) [] []
[2019-12-14 07:09:19] RabbitPrint.WARNING:  | | | tambah_invoice.php -> insert ke invoice_keluar_detail -> sql_detail : INSERT INTO invoice_keluar_detail (cre_tms, upd_tms, cre_usr, upd_usr, invoice_keluar_detail_no_invoice, invoice_keluar_detail_surat_jalan_nomor, invoice_keluar_detail_jenis_print, invoice_keluar_detail_total_barang, invoice_keluar_detail_satuan, invoice_keluar_detail_harga, invoice_keluar_detail_subtotal_harga) VALUES ( NOW(), NOW(), 'superuser', 'superuser', 'INV/20191214/002', 'SRJ/20191213/002', 'JKKDJF', 30, 'Kg', 10000, 300000),( NOW(), NOW(), 'superuser', 'superuser', 'INV/20191214/002', 'SRJ/20191213/003', 'MOTIF KAIN S', 80, 'Kg', 20000, 1600000),( NOW(), NOW(), 'superuser', 'superuser', 'INV/20191214/002', 'SRJ/20191213/003', 'KJDFJ', 80, 'Kg', 15000, 1200000),( NOW(), NOW(), 'superuser', 'superuser', 'INV/20191214/002', 'SRJ/20191213/003', 'KMSADKMK', 80, 'Kg', 15000, 1200000),( NOW(), NOW(), 'superuser', 'superuser', 'INV/20191214/002', 'SRJ/20191213/003', 'KNSKDN', 80, 'Kg', 15000, 1200000) [] []
[2019-12-14 07:09:19] RabbitPrint.WARNING:  | | | tambah_invoice.php -> query_upd : UPDATE surat_jalan s SET s.surat_jalan_status = 'I' WHERE s.surat_jalan_key IN ('SRJ/20191213/002','SRJ/20191213/003','SRJ/20191213/003','SRJ/20191213/003','SRJ/20191213/003') [] []
[2019-12-14 07:09:19] RabbitPrint.WARNING:  | | | tambah_invoice.php -> insert ke invoice_keluar_detail -> BERHASIL [] []
[2019-12-14 07:09:19] RabbitPrint.WARNING:  | | | tambah_invoice.php -> simpan_invoice [END] [] []
[2019-12-14 07:09:22] RabbitPrint.WARNING:  | | | tambah_invoice.php -> membuka halaman [] []
